Beverage_category,Beverage,Beverage_prep,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Caffeine (mg)
0,Brewed Coffee,0,3,0.1,0.0,0.0,0,5,0,0,0,0.3,175.0
0,Brewed Coffee,1,4,0.1,0.0,0.0,0,10,0,0,0,0.5,260.0
0,Brewed Coffee,2,5,0.1,0.0,0.0,0,10,0,0,0,1.0,330.0
0,Brewed Coffee,3,5,0.1,0.0,0.0,0,10,0,0,0,1.0,410.0
1,Caffè Latte,4,70,0.1,0.1,0.0,5,75,10,0,9,6.0,75.0
1,Caffè Latte,5,100,3.5,2.0,0.1,15,85,10,0,9,6.0,75.0
1,Caffè Latte,6,70,2.5,0.4,0.0,0,65,6,1,4,5.0,75.0
1,Caffè Latte,7,100,0.2,0.2,0.0,5,120,15,0,14,10.0,75.0
1,Caffè Latte,5,150,6.0,3.0,0.2,25,135,15,0,14,10.0,75.0
1,Caffè Latte,6,110,4.5,0.5,0.0,0,105,10,1,6,8.0,75.0
1,Caffè Latte,8,130,0.3,0.2,0.0,5,150,19,0,18,13.0,150.0
1,Caffè Latte,5,190,7.0,3.5,0.2,30,170,19,0,17,12.0,150.0
1,Caffè Latte,6,150,5.0,0.5,0.0,0,130,13,1,8,10.0,150.0
1,Caffè Latte,9,170,0.4,0.3,0.0,10,190,25,0,23,16.0,150.0
1,Caffè Latte,5,240,9.0,4.5,0.3,35,220,24,0,22,16.0,150.0
1,Caffè Latte,6,190,7.0,1.0,0.0,0,170,16,2,11,13.0,150.0
1,Caffè Mocha (Without Whipped Cream),4,110,1.5,1.0,0.0,5,60,21,1,17,7.0,85.0
1,Caffè Mocha (Without Whipped Cream),5,130,4.0,2.0,0.1,10,70,21,1,17,6.0,85.0
1,Caffè Mocha (Without Whipped Cream),6,110,3.5,1.0,0.0,0,55,19,2,13,6.0,85.0
1,Caffè Mocha (Without Whipped Cream),7,170,2.0,1.0,0.0,5,100,32,1,27,10.0,95.0
1,Caffè Mocha (Without Whipped Cream),5,200,6.0,3.5,0.1,20,115,32,1,26,10.0,95.0
1,Caffè Mocha (Without Whipped Cream),6,180,5.0,1.5,0.0,0,85,28,2,20,9.0,95.0
1,Caffè Mocha (Without Whipped Cream),8,220,2.5,1.5,0.0,5,125,43,2,34,13.0,175.0
1,Caffè Mocha (Without Whipped Cream),5,260,8.0,4.5,0.2,25,140,42,2,34,13.0,175.0
1,Caffè Mocha (Without Whipped Cream),6,230,7.0,2.0,0.0,0,105,37,3,26,11.0,175.0
1,Caffè Mocha (Without Whipped Cream),9,280,3.0,2.0,0.0,10,160,54,2,44,17.0,180.0
1,Caffè Mocha (Without Whipped Cream),5,340,11.0,6.0,0.2,30,180,53,2,43,17.0,180.0
1,Caffè Mocha (Without Whipped Cream),6,290,9.0,2.5,0.0,0,140,47,4,33,14.0,180.0
1,Vanilla Latte (Or Other Flavoured Latte),4,100,0.1,0.1,0.0,5,70,19,0,18,6.0,75.0
1,Vanilla Latte (Or Other Flavoured Latte),5,130,3.5,1.5,0.1,15,80,18,0,17,6.0,75.0
1,Vanilla Latte (Or Other Flavoured Latte),6,110,2.5,0.3,0.0,0,60,16,1,13,5.0,75.0
1,Vanilla Latte (Or Other Flavoured Latte),7,150,0.2,0.1,0.0,5,110,28,0,27,9.0,75.0
1,Vanilla Latte (Or Other Flavoured Latte),5,200,5.0,2.5,0.2,20,125,28,0,27,9.0,75.0
1,Vanilla Latte (Or Other Flavoured Latte),6,160,4.0,0.5,0.0,0,95,23,1,20,7.0,75.0
1,Vanilla Latte (Or Other Flavoured Latte),8,200,0.3,0.2,0.0,5,140,37,0,35,12.0,150.0
1,Vanilla Latte (Or Other Flavoured Latte),5,250,6.0,3.5,0.2,25,150,37,0,35,12.0,150.0
1,Vanilla Latte (Or Other Flavoured Latte),6,210,5.0,0.5,0.0,0,120,31,1,26,9.0,150.0
1,Vanilla Latte (Or Other Flavoured Latte),9,250,0.3,0.2,0.0,10,180,47,0,45,15.0,150.0
1,Vanilla Latte (Or Other Flavoured Latte),5,320,9.0,4.5,0.3,35,200,46,0,44,15.0,150.0
1,Vanilla Latte (Or Other Flavoured Latte),6,270,7.0,1.0,0.0,0,160,39,2,33,12.0,150.0
1,Caffè Americano,0,5,0.0,0.0,0.0,0,5,1,0,0,0.4,75.0
1,Caffè Americano,1,10,0.0,0.0,0.0,0,10,2,0,0,1.0,150.0
1,Caffè Americano,2,15,0.0,0.0,0.0,0,15,3,0,0,1.0,225.0
1,Caffè Americano,3,25,0.0,0.0,0.0,0,15,4,0,0,1.0,300.0
1,Cappuccino,4,50,0.1,0.1,0.0,5,60,8,0,7,5.0,75.0
1,Cappuccino,5,80,3.0,1.5,0.1,10,70,8,0,7,5.0,75.0
1,Cappuccino,6,50,1.5,0.2,0.0,0,40,4,0,3,3.0,75.0
1,Cappuccino,7,60,0.1,0.1,0.0,5,70,9,0,8,6.0,75.0
1,Cappuccino,5,90,3.5,1.5,0.1,15,80,9,0,8,6.0,75.0
1,Cappuccino,6,70,3.0,0.4,0.0,0,65,7,1,4,5.0,75.0
1,Cappuccino,8,80,0.2,0.1,0.0,5,90,12,0,10,8.0,150.0
1,Cappuccino,5,120,4.0,2.0,0.1,15,100,12,0,10,8.0,150.0
1,Cappuccino,6,100,3.5,0.4,0.0,0,80,9,1,5,7.0,150.0
1,Cappuccino,9,110,0.2,0.2,0.0,5,120,16,0,14,10.0,150.0
1,Cappuccino,5,150,6.0,3.0,0.2,25,135,16,0,14,10.0,150.0
1,Cappuccino,6,120,4.5,0.5,0.0,0,110,11,1,7,9.0,150.0
